Study ID,Study_Publication_Year,Study Class,Treatment Focus (Study level),N Randomized,N Randomized Detail,PTSD Criteria Met at Baseline Percent,PTSD Criteria Met at Baseline Percent Detail,PTSD Severity at Baseline Definition,PTSD Severity at Baseline Mean,PTSD Severity at Baseline Standard Deviation,PTSD Severity at Baseline Detail,Additional PTSD Severity Data,Duration of Symptoms/Diagnosis Mean,Duration of Symptoms/Diagnosis Standard Deviation,Duration of Symptoms/Diagnosis Detail,Active Duty Military Percent,Service-Connected Veteran Percent,Service-Connected Veteran Percent Detail,Veteran Percent,Community Percent,Military Status,Military Status Detail,Age Mean,Age Standard Deviation,Age Detail,Female Percent,Female Detail,Male Percent,Race/Ethnicity Reported,"Race, White","Race, Black","Race, AIAN","Race, Asian","Race, NHPI","Race, Other","Race, Detail","Ethnicity, Hispanic","Ethnicity, Hispanic Detail",Percent Treatment-naive,Percent Treatment-naive Detail,Percent with Depression,Percent with Depression Detail,Percent with TBI History,Percent with TBI History Detail,Trauma Type,Trauma Detail,Trauma Types Mean,Trauma Types Standard Deviation,Trauma Types Detail,Trauma Events Mean,Trauma Events Standard Deviation,Trauma Events Detail,SUD Substance Class,SUD Specific Substance Target,Current SUD Inclusion/Exclusion Criteria,Percent With Any SUD Detail,Patients with Suicidality Excluded,Suicide or Self-Directed Violence Exclusion/Inclusion Criteria,Suicide or Self-Directed Violence Definition,Suicide or Self-Directed Violence Percent,Suicide or Self-Directed Violence Detail,Psychotic Disorder or Symptom Inclusion/Exclusion Criteria,Psychotic Disorder or Symptom Related Definition,Psychotic Disorder or Symptom Related Percent,Psychotic Disorder or Symptom Related Detail,Personality Disorder Definition,Personality Disorder Percent,Personality Disorder Detail,Anxiety Disorder Definition,Anxiety Disorder Percent,Anxiety Disorder Detail,Prior Inpatient Hospitalization Percent,Prior Inpatient Hospitalization Percent Detail,Geometric Point,Risk of Bias Rating,Citation,PTSDPubs ID,Year Added to PTSD-Repository
marshall2007,2007,Pharmacotherapy,PTSD,63,,1,,CAPS,83.5,26.1,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,39.8,11.2,,0.6731,,0.3269,Race and Ethnicity data reported,0.25,0.0962,,,,0.6538,,0.6538,,,,0.625,,,,Mixed,"rape/sexual assault, accidents, community/school violence, other (witnessing events, fire)",,,,,,,,,Excluded,0%,,,,,,,,,,At least one personality disorder diagnosis,0.409,,,,"Social phobia: 22.9%


Panic disorder: 14.6%",,,POINT (-95.71289 37.09024),Some Concerns,"Marshall RD, Lewis-Fernández R, Blanco C, et al. A controlled trial of paroxetine for chronic PTSD, dissociation, and interpersonal problems in mostly minority adults. Depress Anxiety. 2007;24(2):77-84. doi: 10.1002/da.20176. PMID: 16892419.",29847,2019
martenyi2002,2002,Pharmacotherapy,PTSD,301,,1,,CAPS,80.7,15.5,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,,,0.4817,0.5183,Mixed,,37.9,9.3,,0.19,,0.81,Race data reported,0.91,,,,,0.09,,,,,,,,,,Mixed,"combat-related, other (""victim of war or witness of war event,"" ""witness of another person's death"")",,,,,,47% with ≥2 traumas,,,Excluded,0%,,,,,,,,,,,,,,,,,,,High,"Martenyi F, Brown EB, Zhang H, et al. Fluoxetine versus placebo in posttraumatic stress disorder. J Clin Psychiatry. 2002;63(3):199-206.  PMID: 11926718",24911,2019
martenyi2007,2007,Pharmacotherapy,PTSD,411,,1,,CAPS,77.9,15.9,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,,,,40.71,11.81,,0.7153,,0.2847,Race and Ethnicity data reported,0.7689,0.129,,,,0.1022,,0.0706,,,,,,,,Mixed,"combat-related, rape/sexual assault, intimate partner violence, accidents, other (incest, witnessed a death)",,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),High,"Martenyi F, Brown EB, Caldwell CD. Failed efficacy of fluoxetine in the treatment of posttraumatic stress disorder: results of a fixed-dose, placebo-controlled study. J Clin Psychopharmacol. 2007;27(2):166-70. doi: 10.1097/JCP.0b013e31803308ce. PMID: 17414240.",29532,2019
mathew2011,2011,Pharmacotherapy,PTSD,47,,1,,CAPS,73,13.7,,Additional definitions of PTSD severity at baseline reported in the study,11.4,14.2,,,,,,1,Community,,40.8,11.9,,0.5897,,0.4103,Race and Ethnicity data reported,0.359,0.359,,0.0256,,0.2564,,0.2564,,,,,,,,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, other (unexpected death)",,,,,,,,,Excluded,"Current


SUD (except nicotine): 0% Lifetime AUD: 12.82%


Lifetime SUD:12.82%",,,,,,,,,,,,,Current anxiety disorder,0.3846,,,,POINT (-95.71289 37.09024),High,"Mathew SJ, Vythilingam M, Murrough JW, et al. A selective neurokinin-1 receptor antagonist in chronic PTSD: a randomized, double-blind, placebo-controlled, proof-of-concept trial. Eur. Neuropsychopharmacol. 2011;21(3):221-9. doi: 10.1016/j.euroneuro.2010.11.012. PMID: 21194898.",35587,2019
maxwell2016,2016,Psychotherapy,PTSD,18,,1,,MPSS,58.82,21.86,,Additional definitions of PTSD severity at baseline reported in the study,3.96,,,,,,,1,Community,,22.38,4.02,,0.8125,,0.1875,Race and Ethnicity data reported,0.5625,0.1875,,,,0.25,,0.125,,6.25%,,,,,,Mixed,"rape/sexual assault, child sexual abuse, child physical abuse, accidents, community/school violence, other (military-related, not specified)",,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,,POINT (-95.71289 37.09024),Some Concerns,"Maxwell K, Callahan JL, Holtz P, et al. Comparative study of group treatments for posttraumatic stress disorder. Psychotherapy (Chic). 2016 Dec;53(4):433-45. doi: 10.1037/pst0000032. PMID: 26390014.",50402,2019
mccall2018,2018,Pharmacotherapy,PTSD,20,,1,,CAPS,46.1,8.4,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,,,0.1,0.9,Mixed,,39.8,14.5,,0.85,,0.15,Race data reported,0.7,,,,,0.3,,,,,,0.5,,,,Mixed,"combat-related, other (not specified)",,,,,,,,,Excluded,0% (active SUD),,,"Mild-moderate intensity of suicidal ideation was confirmed with a Scale for Suicide Ideation score of ≥ 3, but without imminent intent to commit suicide, i.e. a Columbia Suicide Severity Rating Scale suicidal ideation level of ≤4.",1,,,,,lifetime schizophrenia excluded,,,,,,"GAD: 65%


Obsessive-compulsive disorder: 5%",,,POINT (-95.71289 37.09024),High,"McCall WV, Pillai A, Case D, et al. A pilot, randomized clinical trial of bedtime doses of prazosin versus placebo in suicidal posttraumatic stress disorder patients with nightmares. J Clin Psychopharmacol. 2018 Dec;38(6):618-21. doi: 10.1097/JCP.0000000000000968. PMID: 30335633.",51299,2020
mcdonagh2005,2005,Psychotherapy,PTSD,74,,1,,CAPS,69.9,16.4,,Additional definitions of PTSD severity at baseline reported in the study,33.9,,,,,,,1,Community,,40.4,9.8,,1,,0,Race data reported,0.9324,0.0135,0.0405,,,0.0135,,,,,,,,,,Child sexual abuse,,3.3,1.1,,,,,,,,,,,,,,,,,,Borderline personality disorder: SCID for DSM-IV,0.108,,,,,,,POINT (-95.71289 37.09024),High,"McDonagh A, Friedman MJ, McHugo GJ, et al. Randomized trial of cognitive-behavioral therapy for chronic posttraumatic stress disorder in adult female survivors of childhood sexual abuse. J Consult Clin Psychol. 2005 Jun;73(3):515-24. doi: 10.1037/0022-006X.73.3.515. PMID: 15982149.",27712,2019
mcfall2010,2010,Psychotherapy & pharmacotherapy,PTSD+SUD,943,,1,,CAPS,75.2,12.9,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,,,1,0,Veteran,,54.5,5.9,,0.0636,,0.9364,Race and Ethnicity data reported,0.5801,0.3659,0.0117,,,0.0424,,0.0414,,,,0.4612,,,,Other,"""related to military service""",,,,,,,Drug,Nicotine,Excluded,"Nicotine dependence: 100%


Current alcohol or substance abuse other than nicotine not in partual remission: 0%


Current alcohol abuse/dependence in partial remission: 5.21%


Alcohol disorder past only: 76.01%


Stimulant disorder past only: 30.94%


Cannabis disorder past only: 29.08%


Opioid disorder past only: 14.25%",,,,,,,Psychotic disorder (past only): SCID for DSM-IV,0.0301,,,,,,,"Anxiety disorder (current), excluding PTSD: SCID for DSM-IV: 22.36%


Anxiety disorder (past only), excluding PTSD: SCID for DSM-IV: 11.82%",,,POINT (-95.71289 37.09024),Some Concerns,"McFall ME, Saxon AJ, Malte CA, et al. Integrating tobacco cessation into mental health care for posttraumatic stress disorder: a randomized controlled trial. JAMA. 2010 Dec 8;304(22):2485-93. doi: 10.1001/jama.2010.1769. PMID: 21139110.",35450,2020
mcgeary2022,2022,Psychotherapy,PTSD,193,,0.8238,DSM-5 criteria on CAPS-5; 82.38% of all participants; 85% of participants with nonmissing data,PCL-5,48.43,14.22,,Additional definitions of PTSD severity at baseline reported in the study,,,,0.0415,0.9378,type of disability not specified; VA disability rating mean 81.68 (SD 26.02),0.9585,0,Mixed,"Active Duty, Reserve, and National Guard counted as Active Duty",39.7,8.4,,0.1347,,0.8653,Race and Ethnicity data reported,0.57,0.176,0.026,0.036,0.031,0.161,,0.42,,,,0.513,Depression listed as comorbid mental health condition,100%,mTBI was an inclusion criterion,,,,,,,,,,,,Alcohol use disorder: 1.04%,,,,,,,Psychosis,0.0104,Psychosis listed as comorbid mental health condition,,,,Generalized anxiety,0.4508,"Additional anxiety disorders:
Panic listed as comorbid mental health condition: 2.59%",,,POINT (-95.71289 37.09024),High,"McGeary DD, Resick PA, Penzien DB, et al. Cognitive behavioral therapy for veterans with comorbid posttraumatic headache and posttraumatic stress disorder symptoms: a randomized clinical trial. JAMA Neurol. 2022;79(8):746-57. doi: 10.1001/jamaneurol.2022.1567. PMID: 35759281.",1595720,2023
mcgovern2011,2011,Psychotherapy,PTSD+SUD,53,,1,,CAPS,79.06,21.02,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,0,,0,1,Community,,37.66,10.61,,0.566,,0.434,Race data reported,0.9057,,,,,0.0943,,,,,,,,,,Mixed,"child physical abuse, child sexual abuse, rape/sexual assault, community/school violence, accidents",,,,,,,Mixed Alcohol/Drug,Mixed Alcohol/Drug,Included,100%,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),Some Concerns,"McGovern MP, Lambert-Harris C, Alterman AI, et al. A randomized controlled trial comparing integrated cognitive behavioral therapy versus individual addiction counseling for co-occurring substance use and posttraumatic stress disorders. J Dual Diagn. 2011 Jan 1;7(4):207-27. doi: 10.1080/15504263.2011.620425. PMID: 22383864.",85821,2020
mcgovern2015,2015,Psychotherapy,PTSD+SUD,221,,1,,CAPS,77.35,20.1,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,0,,0,1,Community,,35.3,10.42,,0.593,,0.407,Race and Ethnicity data reported,0.955,,,,,0.045,,0.018,,,,,"Current MDD: 60.6%


MDD, recurrent: 16.7%


Current dysthymia: 12.2%",,,Mixed,"child sexual abuse, community/school violence, other (not specified)",,,,,,,Mixed Alcohol/Drug,Mixed Alcohol/Drug,Included,"Prescription opioids: 51.1%


Cocaine: 45.2%


Cannabis: 40.7%


Heroin: 32.1%


Sedatives: 22.2%


Amphetamines: 17.6%


Hallucinogens: 6.8%


Other: 9.5%


Alcohol: 61.1%",,,Suicide attempt in the past month,0,,,Acute psychotic symptoms,0,,,,,,,"Generalized anxiety disorder: MINI 43.0%


Panic with agoraphobia: MINI 28.1%


Social anxiety: MINI 27.6%


Panic: MINI 15.4%


OCD: MINI 14.9%


Agoraphobia: MINI 13.1%",,,POINT (-95.71289 37.09024),Low,"McGovern MP, Lambert-Harris C, Xie H, et al. A randomized controlled trial of treatments for co-occurring substance use disorders and post-traumatic stress disorder. Addiction. 2015 Jul;110(7):1194-204. doi: 10.1111/add.12943. PMID: 25846251.",44027,2020
mcguirestanbury2020,2020,Psychotherapy,PTSD,20,,1,,CAPS,82.3,18.61,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,42.15,10.94,,,,,,,,,,,,,,,,"Naïve to EMDR or PE for trauma: 100%


Naïve to other PTSD treatment: NR",,,,,Mixed,"Rape/sexual assault; Intimate partner violence; Accidents; Community/school violence; Natural or manmade disasters; Other (childhood trauma, not specified)",,,,,,,,,Excluded,Substance dependency disorder: 0%,,,,,,,,,,Cluster B,0,,,,,0.25,,POINT (134.491 -25.73289),High,"McGuire Stanbury TM, Drummond PD, Laugharne J, et al. Comparative Efficiency of EMDR and Prolonged Exposure in Treating Posttraumatic Stress Disorder: A Randomized Trial. Journal of EMDR Practice and Research. 2020;14(1):2-12. doi: 10.1891/1933-3196.14.1.2.",1587978,2020
mclay2011,2011,Psychotherapy,PTSD,20,,1,,CAPS,83.2,16,,Additional definitions of PTSD severity at baseline reported in the study,,,,1,0,,0,0,Active Duty Military,,28.4,,range 22 to 45,0.05,,0.95,,,,,,,,,,,,,,,,,Combat-related,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),High,"McLay RN, Wood DP, Webb-Murphy JA, et al. A randomized, controlled trial of virtual reality-graded exposure therapy for post-traumatic stress disorder in active duty service members with combat-related post-traumatic stress disorder. Cyberpsychol Behav Soc Netw. 2011 Apr;14(4):223-9. doi: 10.1089/cyber.2011.0003. PMID: 21332375.",36339,2019
mclay2017,2017,Psychotherapy,PTSD,81,,1,,CAPS,75.6,15.8,,Additional definitions of PTSD severity at baseline reported in the study,,,,1,0,,0,0,Active Duty Military,,33,8.05,,0.037,,0.963,Race data reported,0.5309,,,,,0.4691,,,,,,,,,,Combat-related,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),Some Concerns,"McLay RN, Baird A, Webb-Murphy J, et al. A randomized, head-to-head study of virtual reality exposuretherapy for posttraumatic stress disorder. Cyberpsychol Behav Soc Netw. 2017 Apr;20(4):218-24. doi: 10.1089/cyber.2016.0554. PMID: 28394217.",49936,2019
mclean2020,2020,Other mixed,PTSD,40,,1,,PCL-5,47.2,13.4,,Additional definitions of PTSD severity at baseline reported in the study,,,,0.925,0.975,,0.075,0,Mixed,"""All but one participant in the PCT group were seeking disability through the Department of Veteran Affairs for posttraumatic stress disorder""; interpreted this to mean 39 of 40 participants for service-connected veteran percent.",40.2,7.7,,0.25,,0.75,Race and Ethnicity data reported,0.4,0.4,0.025,0.05,0.025,0.1,,0.225,,,,,,"Moderate/severe: 0%


Mild: NR",Excluded moderate/severe TBI,,Inclusion required exposure to a Criterion A combat-related traumatic event but index trauma could be non-combat-related,,,,,,,,,Excluded,Current alcohol dependence: 0% (excluded),,,,,Severe current suicidal ideation was an exclusion criterion,,Psychotic disorder,0,Excluded,,,,,,,,,POINT (-95.71289 37.09024),High,"McLean CP, Foa EB, Dondanville KA, et al. The effects of web-prolonged exposure among military personnel and veterans with posttraumatic stress disorder. Psychol Trauma. 2020 Nov 19;19:19. doi: 10.1037/tra0000978. PMID: 33211517.",1561431,2022
mclean2022,2022,Other study class,PTSD,93,,1,,PCL-5,,,Only reported graphically in Figure 8,Additional definitions of PTSD severity at baseline reported in the study,,,,0,,,1,0,Veteran,"Inclusion criteria required veteran status, demographic table reports Military Status as Veteran, Retired, or National Guard; entered as 100% Veteran based on inclusion criterion (n=1 participant listed for National Guard)",49,9.3,,0.69,"""No participants identified as transgender, nonbinary, or another gender identity""",0.31,Race and Ethnicity data reported,0.63,0.24,0.05,0.03,,0.13,"Other includes ""another racial identity"" and ""middle eastern/north African)""; study states that participants were allowed to select more than one race (total sums to n=101)",0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),High,"McLean C, Davis CA, Miller M, et al. The effects of an exposure-based mobile app on symptoms of posttraumatic stress disorder in veterans: pilot randomized controlled trial. JMIR Mhealth Uhealth. 2022;10(11):e38951. doi: 10.2196/38951. PMID: 36331540.",1605000,2023
mcrae2004,2004,Pharmacotherapy,PTSD,37,,1,,CAPS,71.31,,,Additional definitions of PTSD severity at baseline reported in the study,21.96,,,,,,,1,Community,,40.27,,,0.7692,,0.2308,,,,,,,,,,,,,,,,,Mixed,"child physical abuse, child sexual abuse, rape/sexual assault, accidents, community/school violence, other (not specified)",,,,,,,,,Excluded,0%,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),High,"McRae AL, Brady KT, Mellman TA, et al. Comparison of nefazodone and sertraline for the treatment of posttraumatic stress disorder. Depress Anxiety. 2004;19(3):190-6. doi: 10.1002/da.20008. PMID: 15129422.",26720,2019
meffert2021,2021,Psychotherapy,PTSD,256,,1,,PCL-C,56.34,16.19,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,,,0,1,Community,,36.95,9.4,,1,,0,,,,,,,,,,,,2.3% (6/256) had ever received any mental health care (not restricted to PTSD treatment),1,MDD,,,Intimate partner violence,,,,"91% had 2 or more types of lifetime trauma and 34% had 4 or more types, assessed on Trauma History Questionnaire",,,,,,Excluded,,,,,,,,,,,,,,,,,,,POINT (37.79594 0.5998746),High,"Meffert SM, Neylan TC, McCulloch CE, et al. Interpersonal psychotherapy delivered by nonspecialists for depression and posttraumatic stress disorder among Kenyan HIV-positive women affected by gender-based violence: randomized controlled trial. PLoS Med. 2021 Jan;18(1):e1003468. doi: 10.1371/journal.pmed.1003468. PMID: 33428625.",1563915,2022
meredith2016,2016,Collaborative care,PTSD,404,,1,,CAPS,70.6,16,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,42.4,12.2,,0.8056,,0.1944,Race and Ethnicity data reported,0.0592,0.3521,,,,0.5831,,0.5155,,,,0.5099,,,,,,,,,,,"number of events reported, 1: 2.83%; 2: 8.17%; ≥ 3: 87.61%",,,Included,"Hazardous alcohol use: 18.31%


Probable drug abuse/dependence: 8.73%",,,,,,,,,,,,,Severe anxiety symptoms: GAD-7 score ≥15,0.452,,,,POINT (-95.71289 37.09024),Some Concerns,"Meredith LS, Eisenman DP, Han B, et al. Impact of collaborative care for underserved patients with PTSD in primary care: a randomized controlled trial. J Gen Intern Med. 2016 May;31(5):509-17. doi: 10.1007/s11606-016-3588-3. PMID: 26850413.",44675,2019
meredith2022,2022,Collaborative care,PTSD,40,"42 initially randomized, one patient was double counted in both arms and subsequentially excluded from the analysis, and one patient dropped out before completing the baseline, leaving a sample size of 40 at baseline",1,"""Provisional"" diagnosis defined as PCL-5 >32",PCL-5,73.13,14,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,,,,0.8,,0.2,Race data reported,0,1,0,0,0,0,Patient self-identifying as African American was an inclusion criterion,,,,,0.26,,,,,,,,,,,,,,,"ICD-10 codes from medical chart
Drug use: 0%
Alcohol use: 2%",,,,,,,"Psychoses, by ICD-10 codes from medical chart",0.1,,,,,,,,,,POINT (-95.71289 37.09024),High,"Meredith LS, Wong E, Osilla KC, et al. Trauma-informed Collaborative Care for African American Primary Care Patients in Federally Qualified Health Centers: A Pilot Randomized Trial. Med Care. 2022;60(3):232-9. doi: 10.1097/MLR.0000000000001681. PMID: 35157622.",1587537,2023
mills2012,2012,Psychotherapy,PTSD+SUD,103,,1,,CAPS,90.31,11.29,,Additional definitions of PTSD severity at baseline reported in the study,,,Median 10 (range 0.08 to 40),,,,,1,Community,,33.7,7.9,,0.621,,0.379,,,,,,,,,,,65.00%,,,,,,Mixed,"combat-related, child sexual abuse, rape/sexual assault, accidents, community/school violence, natural or manmade disasters, terrorism/political violence/forced displacement, other (not specified)",,,Median 6.0 (range 2 to 10),,,,Mixed Alcohol/Drug,Mixed Alcohol/Drug,Included,100%,,,,,"Currently suicidal (expressed suicidal ideation accompanied by plan and intent): 0%


Recent (past 6 months) history of self harm: 0%


Attempted suicide, lifetime: 52.4%


Attempted suicide, past year: 9.7%",,Current active symptoms of psychosis,0,,Borderline personality disorder: positive screen on International Personality Disorder Examination Questionnaire,0.728,,,,,,,POINT (134.491 -25.73289),Low,"Mills KL, Teesson M, Back SE, et al. Integrated exposure-based therapy for co-occurring posttraumatic stress disorder and substance dependence: a randomized controlled trial. JAMA. 2012 Aug 15;308(7):690-9. doi: 10.1001/jama.2012.9071. PMID: 22893166..",39123,2020
mitchell2021,2021,Psychotherapy & pharmacotherapy,PTSD,90,"91 randomized, 1 withdrew consent before treatment",1,,CAPS-5,44.1,6.04,,Additional definitions of PTSD severity at baseline reported in the study,14.1,11.5,Duration of PTSD,0,,,0.178,0.822,Mixed,,41,11.9,,0.656,"2.22% (2/90) identified as non-binary gender; these participants are included in the reported value for female sex here and by the study (""sex assigned at birth"")",0.344,Race and Ethnicity data reported,0.767,0.022,0.033,0.078,0,0.089,"Multiple race 8.9% (entered as ""Other"")",0.089,,,No prior psychotherapy: 2.2%,0.911,Comorbid major depression,,,Mixed,"Combat-related; Other (""developmental trauma"", ""multiple trauma"")",,,,,,,,,Excluded,"current AUD: 0% (excluded


current SUD: 0% (excluded)",,,,,"C-SSRS


Suicidal ideation, current, any (baseline): 34.44%


Positive lifetime suicidal ideation: 92.2%


Serious lifetime suicidial ideation: 41.1%


Positive lifetime suicidal behavior: 32.2%",,"Primary psychotic disorder or MDD with psychotic features, MINI for DSM-5",0,Excluded,"Personality disorders, SCID-5-SPQ and SCID-5-PD",0,Excluded,,,,,,,Low,"Mitchell JM, Bogenschutz M, Lilienstein A, et al. MDMA-assisted therapy for severe PTSD: a randomized, double-blind, placebo-controlled phase 3 study. Nat Med. 2021 Jun;27(6):1025-33. doi: 10.1038/s41591-021-01336-3. PMID: 33972795.",1569198,2022
mithoefer2011,2011,Psychotherapy & pharmacotherapy,PTSD,23,,1,,CAPS,79.4,22.4,,Additional definitions of PTSD severity at baseline reported in the study,20.67,14.42,,,,,,1,Community,,40.4,7.2,,0.85,,0.15,Race data reported,1,,,,,,,,,0%,,0.8,,,,Mixed,"combat-related, child physical abuse, child sexual abuse, child other abuse, rape/sexual assault, community/school violence, other (family violence)",,,,,,,,,Included,"Current: 0%


Lifetime AUD: 10.00%


Lifetime other SUD: 5.00%",,,,,,,,,,,,,Comorbid anxiety disorder,0.15,,,,POINT (-95.71289 37.09024),High,"Mithoefer MC, Wagner MT, Mithoefer AT, et al. The safety and efficacy of ±3,4-psychotherapy in subjects with chronic, treatment-resistant posttraumatic stress disorder: the first randomized controlled pilot study. [Erratum appears in J Psychopharmacol. 2011;25(6):852.] J Psychopharmacol. 2010 June;25(4):439-52. doi: 10.1177/0269881110378371.",35036,2019
mithoefer2018,2018,Psychotherapy & pharmacotherapy,PTSD,26,,1,,CAPS,87.1,16.13,,Additional definitions of PTSD severity at baseline reported in the study,0.59,0.44,,0,,,0.8462,0.1538,Mixed,,37.2,10.3,,0.2692,,0.7308,Race and Ethnicity data reported,0.8462,,0.0385,,,0.1154,,0.0769,,0%,,0.7692,,,,Mixed,"combat-related, other (firefighter/police officer)",,,,,,,,,Included,0%,,,,,"Lifetime Columbia-Suicide Severity Rating Scale: Positive ideation: 85%;


Lifetime Columbia-Suicide Severity Rating Scale: Serious ideation: 31%;


Lifetime Columbia-Suicide Severity Rating Scale: Positive behaviour: 42%",,,,,,,,,,"Panic disorder: 35%;


GAD: 8%",,,POINT (-95.71289 37.09024),Low,"Mithoefer MC, Mithoefer AT, Feduccia AA, et al. 3,4-methylenedioxymethamphetamine (MDMA)-assisted psychotherapy for post-traumatic stress disorder in military veterans, firefighters, and police officers: a randomised, double-blind, dose-response, phase 2 clinical trial. Lancet Psychiatry. 2018 Jun;5(6):486-97. doi: 10.1016/S2215-0366(18)30135-4. PMID: 29728331.",50277,2019
miyahira2012,2012,Psychotherapy,PTSD,42,,,,CAPS,36.6,18.31,,Additional definitions of PTSD severity at baseline reported in the study,,,,1,0,,0,0,Active Duty Military,,,,,,,,,,,,,,,,,,,,,,,,Combat-related,,,,,,,,,,Excluded,,,,,,,,,,,,,,,,,,,POINT (-95.71289 37.09024),High,"Miyahira SD, Folen RA, Hoffman HG, et al. The effectiveness of VR exposure therapy for PTSD in returning warfighters. Stud Health Technol Inform. 2012;181:128-32.  PMID: 22954842.",43675,2019
monson2006,2006,Psychotherapy,PTSD,60,,1,,CAPS,77.92,16.9,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,0.483,,1,0,Veteran,,54,6.3,,0.1,,0.9,Race data reported,0.9333,,0.0333,0.0167,,0.0167,,,,,,,,,,Other,"""military-related""",,,,,,,,,Included,1.67%,,,,,,,,,,,,,"Other anxiety disorder, lifetime diagnosis: SCID-P for DSM-IV",0.6,,,,POINT (-95.71289 37.09024),Low,"Monson CM, Schnurr PP, Resick PA, et al. Cognitive processing therapy for veterans with military-related posttraumatic stress disorder. J Consult Clin Psychol. 2006 Oct;74(5):898-907. doi: 10.1037/0022-006X.74.5.898. PMID: 17032094.",28862,2019
monson2012a,2012,Psychotherapy,PTSD,80,40 couples; data for sample characteristics entered for veterans only,1,,CAPS,72.2,13.9,,Additional definitions of PTSD severity at baseline reported in the study,,,median 9.75 years since index trauma,0,,,0.225,0.775,Mixed,,37.1,10.9,,0.75,,0.25,Race data reported,0.725,,,,,0.275,,,,,,,,,,Mixed,"rape/sexual assault, child sexual abuse, accidents, illness/medical procedure, combat-related, community/school violence, other (not specified)",,,,,,,,,Excluded,0%,,,,,,,,,,,,,,,"Other anxiety disorder, current diagnosis: SCID-P for DSM-IV 30.00%;


Other anxiety disorder, lifetime diagnosis: SCID-P for DSM-IV 47.50%",,,,Low,"Monson CM, Fredman SJ, Macdonald A, et al. Effect of cognitive-behavioral couple therapy for PTSD: a randomized controlled trial. JAMA. 2012 Aug 15;308(7):700-9. doi: 10.1001/jama.2012.9307. PMID: 22893167.",39124,2019
moradi2014,2014,Psychotherapy,PTSD,24,,1,,,,,,Additional definitions of PTSD severity at baseline reported in the study,,,,0,,,1,0,Veteran,,45.29,3.83,,0,,1,,,,,,,,,,,,,,,,,Combat-related,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (54.27407 32.57503),Some Concerns,"Moradi AR, Moshirpanahi S, Parhon H, et al. A pilot randomized controlled trial investigating the efficacy of Memory Specificity Training in improving symptoms of posttraumatic stress disorder. Behav Res Ther. 2014 May;56:68-74. doi: 10.1016/j.brat.2014.03.002. PMID: 24705337.",46541,2019
moradi2021,2021,Nonpharmacologic cognitive,PTSD,43,,1,,PCL-5,43.88,9.86,,Additional definitions of PTSD severity at baseline reported in the study,,,index trauma occurred 3 to 18 months previously,,,,,1,Community,,29.37,5.94,,0.6744,,0.3256,Race data reported,0,0,0,1,0,0,"""All participants identified as Asian in ethnicity""",,,,,0.186,Comorbid MDD,0%,Excluded,Accidents,,1,,Inclusion criterion: single-incident trauma,1,,Inclusion criterion: single-incident trauma,,,,,,,,,,,"Current psychosis, determined via SCID",0,Excluded,,,,Comorbid anxiety disorder,0.0465,,,,POINT (54.27407 32.57503),High,"Moradi AR, Piltan M, Choobin MH, et al. Proof of concept for the autobiographical memory flexibility (MemFlex) intervention for posttraumatic stress disorder. Clin Psychol Sci. 2021 Jul;9(4):686-98. doi: 10.1177/2167702620982576. PMID: 34354873.",1574865,2022
morath2014,2014,Psychotherapy,PTSD,34,,1,,CAPS,84.65,15.46,,Additional definitions of PTSD severity at baseline reported in the study,,,,,,,,1,Community,,30,,,0.7,,0.3,,,,,,,,,,,,,,,,,Terrorism/political violence/forced displacement,,,,,7,2,,,,Excluded,0%,,,,,,,,,,,,,,,,,,POINT (10.38578 51.10698),High,"Morath J, Gola H, Sommershof A, et al. The effect of trauma-focused therapy on the altered T cell distribution in individuals with PTSD: evidence from a randomized controlled trial. J Psychiatr Res. 2014 Jul;54:1-10. doi: 10.1016/j.jpsychires.2014.03.016. PMID: 24726027.",49697,2019
